R_SEQ_NO,CD_AREA,NO_EQUP_SE,SD_NM,SGG_NM,CD_EQUP,GB_ACMD,EQUP_NM,RDNMADR_CD,BDONG_CD,HDONG_CD,LOC_SFPR_A,SECT_EQUP,QTY_CPTY,XCORD,YCORD,XX,YY,CD_GUBUN
10210,1154500000,333,서울특별시,금천구,3,경로당,두산(아) 경로당,1154510100107690000015534,1154510100,1154551000,"서울특별시 금천구 가산로 99(가산동, 두산위브아파트)",130,50,126.8936,37.47408,190588.4985,541632.5546,안전
9757,1147000000,29,서울특별시,양천구,1,학교,양목초등학교,1147010100110010000002304,1147010100,1147065000,서울특별시 양천구 목동로11길 30(신정동),238,91,126.86123,37.52369,187733.1005,547142.4952,안전
10215,1154500000,7,서울특별시,금천구,1,학교,안천중학교,1154510200110890000013439,1154510200,1154561000,서울특별시 금천구 한내로 69-44 (독산동),900,346,126.88772,37.45922,190066.3357,539983.8497,안전
10214,1154500000,6,서울특별시,금천구,1,학교,가산초등학교,1154510200101430023012048,1154510200,1154561000,서울특별시 금천구 남부순환로 1304-11 (독산동),500,192,126.89641,37.47795,190836.9987,542062.2635,안전
9758,1147000000,32,서울특별시,양천구,1,학교,목일중학교,1147010100103300002000749,1147010100,1147067000,서울특별시 양천구 목동동로8길 70(신정동),415,160,126.87431,37.51331,188887.5856,545988.6694,안전
10209,1153000000,343,서울특별시,구로구,1,학교,유한공업고등학교,1153011200100010046000128,1153011200,1153078000,서울특별시 구로구 경인로 8(항동),858,330,126.82398,37.48809,184432.4338,543197.2711,안전
10213,1154500000,10,서울특별시,금천구,1,학교,정심초등학교,1154510200101820044007783,1154510200,1154564000,서울특별시 금천구 독산로78다길 89(독산동),500,192,126.90846,37.47165,191902.5088,541361.1786,안전
9759,1147000000,322,서울특별시,양천구,1,학교,신서초등학교 체육관,1147010100103120001006520,1147010100,1147062000,서울특별시 양천구 목동서로10길 35(신정동),793,305,126.86242,37.52028,187837.2603,546763.4166,안전
9763,1147000000,323,서울특별시,양천구,1,학교,목동중학교 체육관,1147010100100850168005544,1147010100,1147063000,서울특별시 양천구 목동동로 172(신정동),620,238,126.87089,37.5201,188586.3297,546743.2627,안전
9760,1147000000,324,서울특별시,양천구,1,학교,남명초등학교,1147010100106530004004946,1147010100,1147064000,서울특별시 양천구 중앙로23길 3(신정동),621,229,126.85392,37.51539,187085.7328,546222.6421,안전
